Obj_mks1,Obj_mks1,Obj_mks1,Obj_mks2,Obj_mks2,Obj_mks2,Obj_mks3,Obj_mks3,Obj_mks3,Obj_mks4,Obj_mks4,Obj_mks4,Obj_mks5,Obj_mks5,Obj_mks5
208.022,724.433,23.72,408.867,725.749,22.6253,407.519,841.772,24.3444,410.604,726.419,-4.698,407.228,845.187,-4.8707
208.056,724.538,23.9144,408.87,725.737,22.6247,407.514,841.752,24.3537,410.584,726.417,-4.7134,407.356,845.474,-4.697
208.024,724.441,23.7266,408.876,725.767,22.6166,407.523,841.752,24.3498,410.597,726.412,-4.6886,407.34,845.482,-4.7155
208.013,724.435,23.7291,408.868,725.746,22.6264,407.514,841.747,24.3568,410.588,726.412,-4.6998,407.341,845.466,-4.7036
208.024,724.456,23.7295,408.868,725.769,22.6164,407.525,841.753,24.3559,410.584,726.418,-4.7012,407.346,845.481,-4.6995
208.065,724.519,23.923,408.872,725.763,22.6117,407.519,841.756,24.3661,410.588,726.422,-4.708,407.334,845.461,-4.7152
208.067,724.526,23.9298,408.867,725.752,22.6129,407.518,841.737,24.3517,410.596,726.423,-4.6923,407.338,845.461,-4.7176
208.061,724.519,23.9177,408.861,725.739,22.6116,407.522,841.749,24.3481,410.596,726.411,-4.6977,407.336,845.478,-4.7031
208.056,724.51,23.9189,408.878,725.75,22.618,407.518,841.739,24.3496,410.596,726.421,-4.7088,407.365,845.513,-4.6825
208.019,724.445,23.7224,408.865,725.742,22.6238,407.516,841.746,24.3454,410.609,726.428,-4.6936,407.346,845.492,-4.6937
208.057,724.506,23.9255,408.877,725.769,22.614,407.517,841.743,24.3485,410.596,726.431,-4.6974,407.346,845.521,-4.7028
208.026,724.438,23.7236,408.885,725.761,22.6166,407.522,841.747,24.3489,410.593,726.415,-4.7158,407.361,845.526,-4.6932
208.077,724.53,23.9088,408.872,725.725,22.6182,407.524,841.745,24.3456,410.595,726.411,-4.7138,407.363,845.522,-4.6869
208.03,724.45,23.7213,408.868,725.732,22.6277,407.534,841.75,24.3474,410.618,726.419,-4.6984,407.409,845.58,-4.6506
208.038,724.447,23.7239,408.881,725.758,22.6085,407.534,841.752,24.3494,410.623,726.421,-4.6918,407.38,845.557,-4.6758
208.036,724.444,23.7199,408.895,725.749,22.6197,407.53,841.734,24.351,410.607,726.412,-4.7109,407.362,845.51,-4.7027
208.039,724.449,23.7224,408.891,725.745,22.6213,407.537,841.75,24.3427,410.62,726.41,-4.7046,407.368,845.531,-4.699
208.041,724.431,23.7173,408.888,725.746,22.6247,407.542,841.755,24.3444,410.614,726.41,-4.6998,407.358,845.518,-4.6999
208.037,724.429,23.7213,408.896,725.752,22.6186,407.538,841.74,24.3443,410.608,726.407,-4.7104,407.36,845.538,-4.6964
208.038,724.425,23.7318,408.891,725.738,22.6148,407.538,841.746,24.3393,410.634,726.402,-4.6998,407.4,845.593,-4.6759
208.044,724.426,23.7153,408.889,725.74,22.6084,407.546,841.753,24.3383,410.622,726.42,-4.7057,407.379,845.552,-4.6835
208.046,724.437,23.72,408.882,725.74,22.619,407.551,841.754,24.3507,410.609,726.409,-4.7128,407.379,845.581,-4.6747
208.076,724.519,23.9135,408.889,725.734,22.6301,407.535,841.744,24.3458,410.625,726.411,-4.7017,407.385,845.579,-4.6908
208.044,724.43,23.7286,408.884,725.75,22.6268,407.545,841.759,24.3494,410.613,726.404,-4.7152,407.391,845.572,-4.6608
208.04,724.442,23.7249,408.872,725.737,22.6143,407.526,841.74,24.3403,410.62,726.424,-4.706,407.373,845.546,-4.6796
208.04,724.431,23.7214,408.899,725.746,22.6267,407.54,841.753,24.3463,410.609,726.413,-4.706,407.403,845.596,-4.6615
208.038,724.43,23.7213,408.873,725.741,22.6249,407.531,841.744,24.3495,410.625,726.408,-4.6969,407.389,845.591,-4.668
208.031,724.446,23.7297,408.891,725.762,22.5989,407.531,841.749,24.349,410.619,726.419,-4.6829,407.369,845.541,-4.6807
208.064,724.512,23.9172,408.886,725.749,22.6121,407.53,841.755,24.3506,410.593,726.411,-4.7119,407.399,845.598,-4.6475
208.026,724.431,23.7246,408.868,725.739,22.6213,407.53,841.753,24.3547,410.587,726.409,-4.7137,407.377,845.545,-4.6654
208.068,724.523,23.9263,408.867,725.732,22.6298,407.517,841.743,24.3532,410.592,726.431,-4.6998,407.337,845.513,-4.708
208.03,724.451,23.743,408.867,725.754,22.6177,407.53,841.76,24.3554,410.605,726.421,-4.6963,407.368,845.529,-4.679
208.024,724.326,24.0407,408.873,725.763,22.6152,407.527,841.759,24.3526,410.595,726.426,-4.6966,407.34,845.534,-4.6877
208.023,724.436,23.7388,408.867,725.775,22.6165,407.505,841.746,24.3522,410.584,726.427,-4.7066,407.367,845.534,-4.6745
208.067,724.523,23.924,408.848,725.736,22.6205,407.513,841.748,24.3549,410.606,726.422,-4.6868,407.394,845.591,-4.65
208.015,724.338,24.036,408.868,725.767,22.6176,407.516,841.755,24.3564,410.582,726.431,-4.7009,407.369,845.539,-4.6671
208.05,724.536,23.9165,408.864,725.761,22.6252,407.512,841.761,24.3541,410.596,726.424,-4.6942,407.359,845.527,-4.6782
208.015,724.324,24.0441,408.869,725.764,22.6209,407.514,841.756,24.3503,410.595,726.423,-4.6935,407.358,845.531,-4.6725
208.095,724.571,23.9338,408.863,725.753,22.6238,407.507,841.752,24.347,410.586,726.423,-4.6976,407.344,845.524,-4.6822
208.059,724.535,23.9295,408.865,725.76,22.6235,407.519,841.759,24.3507,410.585,726.416,-4.7075,407.336,845.505,-4.6962
208.061,724.532,23.9332,408.868,725.767,22.6103,407.516,841.757,24.3555,410.6,726.434,-4.6944,407.372,845.55,-4.683
208.028,724.453,23.7277,408.871,725.75,22.6243,407.519,841.768,24.3496,410.603,726.428,-4.7082,407.337,845.532,-4.7035
208.032,724.46,23.7196,408.878,725.751,22.6219,407.522,841.758,24.3551,410.579,726.416,-4.7191,407.368,845.537,-4.6926
208.033,724.432,23.726,408.882,725.742,22.6244,407.521,841.754,24.3457,410.615,726.431,-4.7072,407.375,845.542,-4.6701
208.038,724.445,23.7135,408.89,725.762,22.6162,407.543,841.761,24.3546,410.608,726.426,-4.7097,407.358,845.519,-4.6969
208.039,724.432,23.7164,408.887,725.742,22.6178,407.541,841.749,24.3476,410.618,726.421,-4.7008,407.386,845.588,-4.6825
208.044,724.436,23.7215,408.881,725.752,22.6298,407.539,841.746,24.3436,410.616,726.42,-4.6994,407.374,845.524,-4.6996
208.043,724.431,23.7108,408.897,725.748,22.6247,407.546,841.757,24.3524,410.62,726.414,-4.717,407.413,845.609,-4.6506
208.049,724.424,23.7224,408.917,725.718,22.6318,407.542,841.736,24.334,410.641,726.4,-4.7106,407.402,845.563,-4.6671
208.045,724.436,23.7209,408.912,725.742,22.6135,407.545,841.734,24.3372,410.637,726.402,-4.7009,407.363,845.544,-4.6884
208.056,724.413,23.7182,408.9,725.742,22.613,407.537,841.668,24.1982,410.632,726.404,-4.7074,407.387,845.55,-4.6975
208.061,724.419,23.7178,408.916,725.756,22.6054,407.532,841.659,24.1946,410.636,726.408,-4.7172,407.399,845.563,-4.686
208.059,724.414,23.7144,408.9,725.732,22.617,407.544,841.718,24.3106,410.636,726.407,-4.7146,407.372,845.516,-4.7019
208.062,724.408,23.7264,408.93,725.726,22.628,407.555,841.726,24.3135,410.656,726.399,-4.7018,407.41,845.576,-4.6867
208.059,724.421,23.729,408.914,725.722,22.6327,407.548,841.724,24.3076,410.651,726.392,-4.7142,407.414,845.575,-4.6807
208.057,724.412,23.7198,408.914,725.718,22.6228,407.548,841.716,24.3083,410.633,726.388,-4.7039,407.381,845.512,-4.7113
208.065,724.414,23.7276,408.915,725.744,22.6162,407.556,841.726,24.3136,410.643,726.402,-4.7071,407.408,845.576,-4.6694
208.063,724.412,23.7225,408.899,725.736,22.6078,407.561,841.729,24.313,410.65,726.409,-4.7005,407.371,845.513,-4.721
208.051,724.419,23.7287,408.908,725.74,22.6123,407.543,841.76,24.3183,410.649,726.403,-4.7069,407.385,845.542,-4.7036
208.065,724.432,23.7211,408.896,725.736,22.6164,407.556,841.733,24.3258,410.625,726.408,-4.7149,407.36,845.489,-4.7093
208.051,724.421,23.7194,408.892,725.741,22.615,407.552,841.744,24.3336,410.627,726.396,-4.7155,407.373,845.518,-4.7024
208.061,724.433,23.7246,408.906,725.719,22.6334,407.547,841.737,24.3255,410.64,726.412,-4.7076,407.362,845.516,-4.7077
208.057,724.432,23.7209,408.901,725.752,22.6184,407.546,841.744,24.3313,410.624,726.398,-4.7085,407.4,845.591,-4.6718
208.054,724.436,23.7317,408.894,725.74,22.6164,407.543,841.751,24.3404,410.633,726.416,-4.7063,407.38,845.568,-4.6874
208.042,724.446,23.7163,408.89,725.737,22.6248,407.538,841.746,24.3415,410.615,726.416,-4.7074,407.361,845.523,-4.6984
208.044,724.443,23.726,408.88,725.744,22.6192,407.531,841.751,24.3489,410.607,726.418,-4.7064,407.364,845.526,-4.6862
208.029,724.427,23.7238,408.882,725.76,22.6014,407.531,841.754,24.3481,410.61,726.421,-4.7099,407.365,845.54,-4.698
208.072,724.532,23.9105,408.892,725.775,22.6125,407.533,841.767,24.3572,410.6,726.416,-4.7185,407.375,845.539,-4.6761
208.077,724.523,23.9195,408.878,725.772,22.6134,407.54,841.76,24.3499,410.596,726.422,-4.698,407.371,845.572,-4.6823
208.069,724.537,23.913,408.883,725.754,22.6243,407.529,841.76,24.3527,410.61,726.423,-4.6941,407.389,845.596,-4.6711
208.059,724.524,23.9103,408.884,725.766,22.6159,407.532,841.762,24.3501,410.588,726.408,-4.7225,407.38,845.552,-4.6631
208.032,724.445,23.732,408.875,725.77,22.6154,407.525,841.766,24.3509,410.598,726.426,-4.7095,407.36,845.558,-4.6835
208.073,724.53,23.9304,408.883,725.762,22.6119,407.519,841.763,24.3484,410.599,726.411,-4.7069,407.381,845.596,-4.6725
208.029,724.435,23.727,408.886,725.767,22.6095,407.543,841.767,24.359,410.596,726.423,-4.7142,407.376,845.525,-4.6818
208.03,724.45,23.7163,408.86,725.754,22.6175,407.539,841.755,24.3544,410.607,726.42,-4.6911,407.363,845.522,-4.6921
